"","pixel","bs_sic_x10","lon","lat","sicDate","x","y"
"1568",15,1000,-172.37301955,62.21931067,"20220310",-2437718.54562213,1861958.28583285
"1668",16,1000,-172.01043703,62.34746359,"20220310",-2437718.35458089,1837648.8452323
"1187",1,994,-173.05576386,62.26233287,"20220311",-2411473.49214075,1887832.07778017
"269",2,1000,-173.33655426,62.42821497,"20220311",-2387276.81855827,1887831.88592911
"369",3,980,-172.67357453,62.40051872,"20220311",-2411473.28765688,1862022.41413149
"469",4,985,-172.9293529,62.57602444,"20220311",-2387276.60372308,1860409.10948969
"569",5,964,-172.3087748,62.53892242,"20220311",-2410666.53116729,1837019.28420536
"669",6,963,-172.59435311,62.72215112,"20220311",-2384856.75697129,1836212.53598877
"769",7,975,-172.8825669,62.86960264,"20220311",-2362273.2266533,1837825.46139676
"869",8,1000,-173.28950402,62.74155685,"20220311",-2360660.30422343,1863635.10199659
"969",9,1000,-173.64949576,62.61006956,"20220311",-2360660.49126403,1887831.6767689
"1069",10,1000,-174.05315813,62.45989067,"20220311",-2360660.70709449,1915254.47383621
"1188",11,1000,-173.73223588,62.30883546,"20220311",-2384857.35645813,1912834.99988579
"1270",12,994,-173.39871039,62.13615455,"20220311",-2411473.67853153,1911222.11307978
"1369",13,1000,-173.10043038,61.95538139,"20220311",-2437718.94307876,1911445.37777676
"1469",14,993,-172.74200852,62.09614904,"20220311",-2436850.54348647,1886267.69227442
"1569",15,988,-172.37301955,62.21931067,"20220311",-2437718.54562213,1861958.28583285
"1669",16,988,-172.01043703,62.34746359,"20220311",-2437718.35458089,1837648.8452323
"1189",1,998,-173.05576386,62.26233287,"20220312",-2411473.49214075,1887832.07778017
"270",2,1000,-173.33655426,62.42821497,"20220312",-2387276.81855827,1887831.88592911
"370",3,948,-172.67357453,62.40051872,"20220312",-2411473.28765688,1862022.41413149
"470",4,958,-172.9293529,62.57602444,"20220312",-2387276.60372308,1860409.10948969
"570",5,960,-172.3087748,62.53892242,"20220312",-2410666.53116729,1837019.28420536
"670",6,979,-172.59435311,62.72215112,"20220312",-2384856.75697129,1836212.53598877
